Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Description,Comments,RoHS Status,Lead Free Status,REACH Status
BC1148CT-ND,VISHAY BC COMPONENTS (VA),K104Z15Y5VE5TL2,C15                                             ,1,0,0,CAP CER 0.1UF 25V RADIAL,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2011
CSSH2728FT5L00CT-ND,STACKPOLE ELECTRONICS INC (VA),CSSH2728FT5L00,R8_R25                                          ,2,0,0,RES 0.005 OHM 4W 1% 2728 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
P4602-ND,,ECQ-U2A473MN,C10_C31                                         ,2,0,0,CAP FILM 0.047UF 250VAC RADIAL,"Part is obsolete, not recommended for new design",RoHS Compliant,Lead free,Unaffected Dec-2011
P0.0ECT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-8GEY0R00V,R10                                             ,1,0,0,RES 0.0 OHM 1/4W 1206 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
P1.1KECT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-8GEYJ112V,R9                                              ,1,0,0,RES 1.1K OHM 1/4W 5% 1206 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
P1.00KFCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-8ENF1001V,R1_R4-6_R17_R20-22_R26-32_R5_R40-41_R45-46      ,20,0,0,RES 1.00K OHM 1/4W 1% 1206 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
445-1423-1-ND,TDK CORPORATION (VA),C3216X7R1H105K,C7_C30 (PCC2478CT-ND)                           ,2,0,0,CAP CER 1UF 50V 10% X7R 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Apr-2011
X079-ND,ECS INC,ECS-35-17-4,Y1_Y2                                           ,2,0,0,CRYSTAL 3.579545 MHZ 17PF 49US,,RoHS non-compliant,Contains lead,Unaffected Jun-2011
399-3791-1-ND,KEMET (VA),T491D475K035AT,C32 (478-3934-1-ND)                             ,1,0,0,CAP TANT 4.7UF 35V 10% 2917,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2011
P10ECT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-8GEYJ100V,R11_R16                                         ,2,0,0,RES 10 OHM 1/4W 5% 1206 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
P5148-ND,PANASONIC ELECTRONIC COMPONENTS,ECA-1EM100,C12                                             ,1,0,0,CAP ALUM 10UF 25V 20% RADIAL,,RoHS Compliant,Lead free,Unaffected Jun-2011
P10KECT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-8GEYJ103V,"R13, R36, R38, R43                              ",4,0,0,RES 10K OHM 1/4W 5% 1206 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
445-4043-1-ND,TDK CORPORATION (VA),C3216X7R1A106K,C4_C5_C18_C22                                   ,4,0,0,CAP CER 10UF 10V 10% X7R 1206,,RoHS Compliant,Lead free,Unaffected Apr-2011
399-1113-1-ND,KEMET (VA),C0805C220J5GACTU,C13_C14_C24_C25 (PCC220CNCT-ND)                 ,4,0,0,CAP CER 22PF 50V 5% NP0 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2011
445-4456-1-ND,TDK CORPORATION (VA),C3216X7R2A333K,C8_C9_C17_C19_C26_C27_C28_C29 (PCC2469CT-ND)    ,8,0,0,CAP CER 0.033UF 100V X7R 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Apr-2011
P5152-ND,PANASONIC ELECTRONIC COMPONENTS,ECA-1EM101,C11                                             ,1,0,0,CAP ALUM 100UF 25V 20% RADIAL,,RoHS Compliant,Lead free,Unaffected Dec-2011
399-1249-1-ND,KEMET (VA),C1206C104K5RACTU,C1_C3_C6_C16_C20_C21                            ,6,0,0,CAP CER 0.1UF 50V 10% X7R 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2011
PCE3858CT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),EEE-0JA221WP,C2_C23 (PCE3310CT-ND)                           ,2,0,0,CAP ALUM 220UF 6.3V 20% SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
240-2418-1-ND,LAIRD-SIGNAL INTEGRITY PRODUCTS (VA),LI1806C151R-10,Z3_Z4_Z7_Z8                                     ,4,0,0,FERRITE 300MA 150 OHM 1806 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
240-2423-1-ND,LAIRD-SIGNAL INTEGRITY PRODUCTS (VA),HI1812T800R-10,Z1_Z2_Z6_Z9                                     ,4,0,0,FERRITE 6A 80 OHM 1812 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
P330KWCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-12ZYJ334U,R2_R3_R7_18_R23_R24                             ,6,0,0,RES 330K OHM 3/4W 5% 2010 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
1031K-ND,KEYSTONE ELECTRONICS,1031,PAD1_PAD2                                       ,2,0,0,TERM TEST POINT SLOTTED .032"DIA,,RoHS Compliant,Lead free,Unaffected Dec-2011
A98342-ND,TE CONNECTIVITY AMP,282841-2,X1_X2_X3_X4                                     ,4,0,0,TERM BLOCK 2POS SIDE ENT 5.08MM,,RoHS Compliant,Lead free,Unaffected Aug-2011
ADE7753ARSZ-ND,ANALOG DEVICES INC,ADE7753ARSZ,ADE1_ADE2                                       ,2,0,0,IC ENERGY METERING 1PHASE 20SSOP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected May-2011
H11L1SM-ND,FAIRCHILD OPTOELECTRONICS GROUP,H11L1SM,OK1-9                                           ,9,0,0,OPTOCOUPLER LOGIC OUT 6-SMD,,RoHS Compliant,Lead free,Unaffected Jun-2011
MMBT2907A-FDICT-ND,DIODES INC (VA),MMBT2907A-7-F,Q1-4                                            ,4,0,0,TRANS PNP 60V 300MW SMD SOT23-3,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
P7277-ND,PANASONIC ELECTRONIC COMPONENTS,ERZ-V20D431,R12_R14                                         ,2,0,0,SUR ABSORBER 20MM 430V 6500A ZNR,,RoHS Compliant,Lead free,Unaffected Dec-2011
CP-102A-ND,CUI INC,PJ-102A,J1                                              ,1,0,0,CONN JACK POWER 2.1MM PCB,,RoHS Compliant,Lead free,Unaffected Oct-2010
380-1022-ND,STEWART CONNECTOR,SS-6488-NF,U6-7                                            ,2,0,0,CONN 8-8 MOD JACK,,RoHS Compliant,Lead free,Unaffected Aug-2011
