Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Description,Comments,RoHS Status,Lead Free Status,REACH Status
ACX1426-ND,AMPHENOL CONNEX,132289,GSM                                             ,1,0,0,CONN RCPT BULKHEAD SMA PCB,,RoHS Compliant,Lead free,Unaffected Nov-2011
P47.0KFCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-8ENF4702V,"R12,R13,R18,R27                                 ",3,0,0,RES 47.0K OHM 1/4W 1% 1206 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
CKN9104CT-ND,C&K COMPONENTS (VA),PTS525SM10SMTR LFS,"RESET,TELLIT                                    ",2,0,0,SWITCH TACTILE SPST-NO 0.05A 12V,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2011
445-4043-1-ND,TDK CORPORATION (VA),C3216X7R1A106K,C23                                             ,1,0,0,CAP CER 10UF 10V 10% X7R 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Apr-2011
P27.0FCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-8ENF27R0V,R16                                             ,1,0,0,RES 27.0 OHM 1/4W 1% 1206 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
P82ECT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-8GEYJ820V,"R7,R10                                          ",2,0,0,RES 82 OHM 1/4W 5% 1206 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
P100ECT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-8GEYJ101V,"R6,R1,R22,R3                                   ",4,0,0,RES 100 OHM 1/4W 5% 1206 SMD,,RoHS Compliant,Lead free,Not Available
P5152-ND,PANASONIC ELECTRONIC COMPONENTS,ECA-1EM101,C11                                             ,1,0,0,CAP ALUM 100UF 25V 20% RADIAL,,RoHS Compliant,Lead free,Unaffected Dec-2011
311-1207-1-ND,YAGEO (VA),CC1206KRX7R9BB393,C22                                             ,1,0,0,CAP CER 0.039UF 50V 10% X7R 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
754-1142-1-ND,KINGBRIGHT CORP (VA),APT3216SRCPRV,"DBG1,UC_PWR                                     ",2,0,0,LED 3.2X1.6MM 640NM RED CLR SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Feb-2011
754-1141-1-ND,KINGBRIGHT CORP (VA),APT3216SGC,DBG0                                            ,1,0,0,LED 3.2X1.6MM 568NM GRN CLR SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Feb-2011
365-1204-ND,TT ELECTRONICS/OPTEK TECHNOLOGY,OVLLY8C7,MOUNT                                           ,1,0,0,LED 589NM CYLINDER YELLOW 5MM,,RoHS Compliant,Lead free,Unaffected Jun-2011
LT1528CQ#PBF-ND,LINEAR TECHNOLOGY,LT1528CQ#PBF,Q-LT1528                                        ,1,0,0,IC REG LDO 3.3V/ADJ 3A DDPAK-5,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
H11L1SM-ND,FAIRCHILD OPTOELECTRONICS GROUP,H11L1SM,"OK3,OK4                                         ",2,0,0,OPTOCOUPLER LOGIC OUT 6-SMD,,RoHS Compliant,Lead free,Unaffected Jun-2011
MMSZ5233B-FDICT-ND,DIODES INC (VA),MMSZ5233B-7-F,D2                                              ,1,0,0,DIODE ZENER 6V 500MW SOD-123,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
EG1906-ND,E-SWITCH,EG1213,UNMOUNTED                                       ,1,0,0,SWITCH SLIDE SPDT 30V RT ANGLE,,RoHS Compliant,Lead free,Unaffected Jun-2012
