2794235,1848,0,1,562984,99189,7230,194636,16407,360,	434,360,	434,13468,0,0,0
2794323,1849,1,1,583946,1338,7359,8507,16403,5,	0,5,	0,0,0,0,14
2794391,1850,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2794455,1851,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2794518,1852,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2794582,1853,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2795235,1854,0,1,561781,98678,7206,183580,16401,359,	433,359,	433,13506,0,0,0
2795323,1855,1,1,584755,1348,7348,6458,16403,4,	0,5,	0,0,0,0,14
2795390,1856,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2795454,1857,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2795517,1858,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2795581,1859,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2796234,1860,0,1,563549,99075,7183,190345,16405,359,	435,359,	434,13871,0,0,10
2796324,1861,1,1,576744,1341,7357,8773,16403,5,	0,5,	0,0,0,0,14
2796392,1862,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2796455,1863,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2796519,1864,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2796582,1865,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2797234,1866,0,1,563130,99481,7240,195438,16403,359,	434,359,	434,13688,0,0,10
2797324,1867,1,1,578871,1346,7362,7590,16403,5,	0,5,	0,0,0,0,14
2797391,1868,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2797455,1869,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2797518,1870,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2797582,1871,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2798233,1872,0,1,563463,99197,7207,180143,16405,358,	433,359,	433,13727,0,0,10
2798323,1873,1,1,577593,1356,7351,6578,16405,5,	0,4,	0,0,0,0,14
2798391,1874,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2798454,1875,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2798518,1876,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2798581,1877,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2799233,1878,0,1,562562,99098,7192,191172,16405,360,	434,359,	434,13468,0,0,10
2799323,1879,1,1,579767,1353,7359,7009,16403,5,	0,5,	0,0,0,0,14
2799390,1880,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2799454,1881,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2799517,1882,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2799581,1883,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2800234,1884,0,1,562155,99254,7189,192891,16407,359,	434,359,	434,13688,0,0,10
2800322,1885,1,1,577598,1311,7365,7534,16405,5,	0,5,	0,0,0,0,14
2800390,1886,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2800453,1887,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2800517,1888,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2800580,1889,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2801233,1890,0,1,562164,99125,7226,187244,16407,359,	434,359,	434,13688,0,0,10
2801321,1891,1,1,576782,1363,7364,6978,16403,5,	0,5,	0,0,0,0,14
2801389,1892,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2801453,1893,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2801516,1894,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2801580,1895,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2802233,1896,0,1,563834,98965,7163,194449,16407,358,	433,358,	433,13727,0,0,10
2802321,1897,1,1,577855,1327,7362,6522,16407,5,	0,5,	0,0,0,0,14
2802391,1898,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2802454,1899,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2802518,1900,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2802581,1901,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2803232,1902,0,1,563158,99222,7245,188993,16409,359,	434,359,	434,13688,0,0,0
2803320,1903,1,1,583538,1347,7350,7333,16407,5,	0,5,	0,0,0,0,14
2803388,1904,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2803451,1905,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2803515,1906,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2803578,1907,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2804232,1908,0,1,562695,99558,7187,194231,16412,359,	434,359,	434,13688,0,0,0
2804320,1909,1,1,584678,1385,7351,7028,16405,4,	0,5,	0,0,0,0,14
2804387,1910,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2804451,1911,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2804514,1912,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2804580,1913,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2805231,1914,0,1,562996,99006,7255,191028,16412,358,	432,358,	433,13544,0,0,10
2805321,1915,1,1,577335,1369,7353,7533,16405,5,	0,5,	0,0,0,0,14
2805389,1916,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2805452,1917,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2805516,1918,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2805579,1919,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2806233,1920,0,1,562959,98580,7158,183055,16409,359,	433,360,	433,13506,0,0,10
2806321,1921,1,1,575899,1353,7344,6867,16403,5,	0,5,	0,0,0,0,14
2806388,1922,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2806452,1923,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2806515,1924,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2806581,1925,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2807232,1926,0,1,562604,99049,7146,193628,16407,359,	433,358,	432,13506,0,0,10
2807320,1927,1,1,578261,1332,7328,6378,16407,5,	0,4,	0,0,0,0,14
2807388,1928,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2807453,1929,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2807517,1930,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2807580,1931,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2808231,1932,0,1,563647,99648,7205,192722,16405,359,	434,359,	435,13688,0,0,10
2808322,1933,1,1,578552,1357,7371,6463,16409,5,	0,5,	0,0,0,0,14
2808389,1934,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2808453,1935,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2808516,1936,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2808580,1937,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2809231,1938,0,1,563749,99275,7251,192044,16405,359,	434,359,	434,13688,0,0,10
2809321,1939,1,1,577011,1281,7372,7362,16403,5,	0,5,	0,0,0,0,14
2809389,1940,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2809452,1941,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2809516,1942,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2809579,1943,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2810230,1944,0,1,562423,98748,7194,187459,16407,359,	434,359,	433,13688,0,0,10
2810320,1945,1,1,579276,1355,7372,6713,16405,5,	0,5,	0,0,0,0,14
2810388,1946,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2810451,1947,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2810515,1948,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2810578,1949,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2811230,1950,0,1,562843,99175,7251,192867,16407,359,	434,359,	435,13688,0,0,0
2811320,1951,1,1,584903,1323,7369,8031,16405,5,	0,5,	0,0,0,0,14
2811387,1952,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2811451,1953,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2811514,1954,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2811578,1955,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2812231,1956,0,1,563289,99653,7267,192900,16407,358,	434,358,	433,13910,0,0,0
2812319,1957,1,1,584475,1354,7359,7344,16403,5,	0,5,	0,0,0,0,14
2812387,1958,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2812450,1959,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2812514,1960,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2812577,1961,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2813231,1962,0,1,563319,99276,7202,178844,16403,359,	434,359,	434,13688,0,0,0
2813319,1963,1,1,583642,1358,7370,8412,16403,4,	0,5,	0,0,0,0,14
2813386,1964,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2813450,1965,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2813513,1966,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2813577,1967,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2814230,1968,0,1,562926,98850,7226,195988,16405,360,	434,360,	434,13468,0,0,0
2814318,1969,1,1,584718,1364,7373,6454,16405,5,	0,5,	0,0,0,0,14
2814386,1970,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2814449,1971,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2814513,1972,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2814576,1973,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2815229,1974,0,1,563217,99074,7189,180807,16403,359,	434,359,	434,13688,0,0,10
2815320,1975,1,1,578424,1314,7357,6786,16403,5,	0,5,	0,0,0,0,14
2815387,1976,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2815451,1977,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2815514,1978,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2815578,1979,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2816229,1980,0,1,563739,99584,7188,194660,16403,358,	433,358,	434,13727,0,0,10
2816319,1981,1,1,579919,1321,7357,6962,16403,5,	0,5,	0,0,0,0,14
2816387,1982,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2816450,1983,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2816514,1984,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2816577,1985,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2817228,1986,0,1,563354,99267,7217,179824,16405,360,	435,360,	434,13650,0,0,10
2817318,1987,1,1,578929,1330,7364,8106,16403,5,	0,5,	0,0,0,0,14
2817386,1988,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2817449,1989,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2817513,1990,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2817576,1991,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2818228,1992,0,1,561132,98923,7209,196016,16405,359,	433,359,	434,13506,0,0,0
2818318,1993,1,1,585039,1303,7361,6581,16403,5,	0,4,	0,0,0,0,14
2818385,1994,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2818449,1995,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2818512,1996,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
2818576,1997,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
2819229,1998,0,1,562938,99131,7171,196018,16405,359,	434,359,	434,13688,0,0,10
2819317,1999,1,1,577499,1311,7365,7541,16403,5,	0,5,	0,0,0,0,14
2819385,2000,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
