ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
918755,5256,0,1,563088,894290,7201,1275105,16429,3218,	3885,3216,	3884,13581,0,0,10
918851,5257,1,1,582010,21883,7359,35385,16429,80,	96,80,	97,13104,0,0,14
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
919756,5262,0,1,562168,893177,7197,1293307,16436,3231,	3898,3232,	3897,13526,0,0,10
919851,5263,1,1,578764,21855,7367,35856,16434,80,	97,81,	97,13923,0,0,14
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
920756,5268,0,1,558020,890138,7133,1286605,16423,3220,	3889,3221,	3890,13613,0,0,10
920850,5269,1,1,577354,21824,7363,35606,16427,81,	97,80,	96,12942,0,0,14
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
921755,5274,0,1,559459,893023,7224,1288397,16423,3219,	3897,3219,	3898,13801,0,0,10
921849,5275,1,1,580212,21851,7403,37749,16429,80,	97,80,	97,13923,0,0,14
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
922755,5280,0,1,560684,891927,7289,1297390,16418,3208,	3886,3208,	3885,13848,0,0,10
922849,5281,1,1,580045,21874,7375,36179,16425,80,	96,80,	97,13104,0,0,14
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
923754,5286,0,1,560344,892455,7185,1296539,16414,3213,	3889,3213,	3889,13786,0,0,0
923848,5287,1,1,576768,21846,7374,36604,16423,80,	97,80,	96,13923,0,0,14
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
924755,5292,0,1,562276,892480,7191,1286774,16412,3215,	3890,3215,	3891,13757,0,0,0
924848,5293,1,1,576421,21853,7373,37994,16418,80,	97,80,	97,13923,0,0,14
