,	95,82,	95,10387,0,0,10
576073,3251,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
576737,3252,0,1,567367,22253,7229,83033,16403,83,	95,82,	95,9472,0,0,0
576819,3253,1,0,584438,1329,7450,6652,16403,5,	0,5,	0,0,0,0,14
576884,3254,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
576948,3255,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
577009,3256,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
577073,3257,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
577736,3258,0,1,567872,22810,7328,86124,16403,82,	97,83,	96,11985,0,0,0
577818,3259,1,0,577785,1321,7436,6570,16403,5,	0,5,	0,0,0,0,14
577886,3260,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
577947,3261,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
578011,3262,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
578072,3263,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
578738,3264,0,1,566368,22149,7350,87652,16403,83,	95,82,	95,9472,0,0,0
578818,3265,1,0,582655,1308,7442,6339,16403,5,	0,5,	0,0,0,0,14
578885,3266,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
578947,3267,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
579010,3268,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
579072,3269,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
579737,3270,0,1,568470,22717,7276,86890,16403,82,	95,82,	96,10387,0,0,10
579819,3271,1,0,576728,1331,7423,6090,16401,5,	0,5,	0,0,0,0,14
579887,3272,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
579948,3273,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
580012,3274,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
580073,3275,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
580737,3276,0,1,567630,22414,7213,80462,16403,82,	96,82,	95,11186,0,0,10
580818,3277,1,0,576567,1326,7448,6398,16403,4,	0,5,	0,0,0,0,14
580886,3278,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
580947,3279,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
581011,3280,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
581072,3281,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
581736,3282,0,1,567562,22670,7271,83230,16407,83,	95,83,	96,9472,0,0,0
581816,3283,1,0,582875,1342,7448,6511,16403,5,	0,5,	0,0,0,0,14
581883,3284,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
581945,3285,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
582008,3286,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
582070,3287,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
582735,3288,0,1,567125,22410,7331,87480,16401,82,	96,82,	95,11186,0,0,0
582817,3289,1,0,577108,1319,7434,6519,16403,5,	0,5,	0,0,0,0,14
582883,3290,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
582946,3291,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
583008,3292,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
583071,3293,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
583735,3294,0,1,567958,22902,7269,83458,16405,82,	95,82,	96,10387,0,0,0
583817,3295,1,0,578056,1342,7440,7657,16403,5,	0,5,	0,0,0,0,14
583882,3296,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
583946,3297,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
584007,3298,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
584071,3299,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
584734,3300,0,1,567782,22292,7248,74449,16403,82,	96,83,	95,11186,0,0,10
584816,3301,1,0,576373,1333,7447,6308,16403,5,	0,4,	0,0,0,0,14
584884,3302,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
584945,3303,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
585009,3304,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
585070,3305,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
585734,3306,0,1,567170,23152,7344,85927,16405,83,	96,82,	96,10262,0,0,0
585816,3307,1,0,578694,1312,7465,6683,16405,5,	0,5,	0,0,0,0,14
585881,3308,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
585945,3309,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
586006,3310,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
586070,3311,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
586733,3312,0,1,566718,22305,7301,86633,16403,82,	95,82,	95,10387,0,0,10
586817,3313,1,0,576933,1313,7437,5717,16403,5,	0,5,	0,0,0,0,14
586883,3314,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
586946,3315,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
587008,3316,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
587071,3317,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
587732,3318,0,1,567502,22974,7261,79408,16403,82,	95,82,	95,10387,0,0,10
587816,3319,1,0,575831,1347,7421,6829,16403,5,	0,5,	0,0,0,0,14
587882,3320,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
587945,3321,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
588007,3322,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
588070,3323,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
588732,3324,0,1,565812,22590,7309,86926,16407,83,	95,83,	96,9472,0,0,10
