319827,1668,0,1,557431,1632555,7026,2283224,16434,5841,	7063,5841,	7065,13708,0,0,0
319922,1669,1,1,576285,22119,7279,36690,16436,80,	97,81,	97,13923,0,0,14
320000,1670,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
320061,1671,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
320124,1672,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
320186,1673,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
320827,1674,0,1,555921,1632003,7034,2278618,16431,5843,	7062,5844,	7061,13670,0,0,10
320923,1675,1,1,578155,22145,7271,37440,16436,81,	97,80,	97,12942,0,0,14
321001,1676,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
321062,1677,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
321126,1678,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
321187,1679,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
321828,1680,0,1,556656,1632579,7050,2279591,16434,5841,	7062,5842,	7064,13697,0,0,10
321923,1681,1,1,578644,22099,7271,37166,16431,80,	98,81,	98,14743,0,0,14
322000,1682,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
322062,1683,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
322125,1684,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
322187,1685,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
322828,1686,0,1,555803,1631921,7062,2278178,16434,5842,	7061,5841,	7059,13672,0,0,10
322922,1687,1,1,578390,22147,7273,36889,16423,81,	97,80,	97,12942,0,0,14
323000,1688,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
323063,1689,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
323125,1690,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
323188,1691,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
323827,1692,0,1,556647,1632049,7070,2279388,16431,5840,	7062,5842,	7064,13710,0,0,10
323923,1693,1,1,578841,22161,7273,37440,16429,81,	97,81,	97,12942,0,0,14
323999,1694,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
324063,1695,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
324124,1696,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
324188,1697,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
324827,1698,0,1,556933,1632994,7088,2282035,16434,5841,	7064,5839,	7063,13719,0,0,0
324923,1699,1,1,576441,22140,7269,38134,16434,80,	98,80,	97,14743,0,0,14
324999,1700,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
325062,1701,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
325124,1702,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
325187,1703,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
325828,1704,0,1,555744,1632967,7089,2287507,16434,5844,	7067,5844,	7067,13712,0,0,10
325922,1705,1,1,579309,22095,7267,37868,16436,81,	97,81,	98,12942,0,0,14
326000,1706,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
326062,1707,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
326125,1708,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
326187,1709,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
326828,1710,0,1,556943,1633042,7105,2297147,16436,5845,	7072,5846,	7072,13755,0,0,0
326922,1711,1,1,577431,22130,7273,38019,16436,81,	98,81,	97,13752,0,0,14
327000,1712,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
327061,1713,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
327124,1714,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
327186,1715,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
327827,1716,0,1,556898,1633064,7113,2325447,16434,5842,	7069,5842,	7070,13762,0,0,0
327921,1717,1,1,577075,22121,7276,37187,16436,80,	97,80,	98,13923,0,0,14
327999,1718,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
328060,1719,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
328124,1720,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
328185,1721,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
328826,1722,0,1,556063,1634185,7125,2336854,16434,5841,	7073,5842,	7073,13820,0,0,0
328923,1723,1,1,577653,22143,7279,36466,16436,81,	97,81,	97,12942,0,0,14
328998,1724,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
329062,1725,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
329123,1726,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
329187,1727,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
329826,1728,0,1,556593,1634184,7143,2339856,16431,5845,	7076,5842,	7074,13799,0,0,0
329922,1729,1,1,576724,22181,7283,35598,16436,81,	98,81,	98,13752,0,0,14
329998,1730,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
330061,1731,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
330123,1732,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
330186,1733,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
330827,1734,0,1,555571,1632916,7181,2334204,16434,5841,	7070,5842,	7071,13786,0,0,10
330921,1735,1,1,579135,22117,7280,38023,16436,80,	97,81,	97,13923,0,0,14
330999,1736,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
331061,1737,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
331124,1738,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
331186,1739,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
331827,1740,0,1,556408,1633661,7194,2325977,16436,5840,	7072,5839,	7070,13822,0,0,10
331921,1741,1,1,578709,22140,7280,37179,16431,81,	98,80,	97,13752,0,0,14
331999,1742,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
332062,1743,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
332124,1744,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
332187,1745,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
332826,1746,0,1,555269,1632915,7186,2300172,16436,5840,	7069,5841,	7070,13789,0,0,10
332922,1747,1,1,578702,22176,7280,37174,16431,81,	97,81,	98,12942,0,0,14
332998,1748,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
333062,1749,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
333123,1750,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
333187,1751,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
333826,1752,0,1,556203,1632453,7111,2286891,16427,5839,	7066,5840,	7068,13769,0,0,0
333922,1753,1,1,576941,22110,7282,36924,16438,80,	97,80,	97,13923,0,0,14
333998,1754,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
334061,1755,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
334123,1756,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
334186,1757,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
334827,1758,0,1,557988,1633852,7049,2283454,16436,5843,	7070,5843,	7070,13759,0,0,10
334921,1759,1,1,578838,22190,7280,36660,16434,81,	98,81,	98,13752,0,0,14
334999,1760,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
335060,1761,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
335124,1762,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
335185,1763,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
335826,1764,0,1,556673,1633358,7026,2284428,16434,5845,	7070,5843,	7067,13732,0,0,0
335921,1765,1,1,575880,22161,7283,39770,16434,80,	97,81,	97,13923,0,0,14
335996,1766,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
336060,1767,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
336121,1768,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
336185,1769,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
336826,1770,0,1,557050,1633427,7024,2283361,16436,5845,	7067,5846,	7068,13699,0,0,0
336920,1771,1,1,576461,22137,7277,36416,16434,81,	98,80,	97,13752,0,0,14
336998,1772,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
337059,1773,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
337123,1774,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
337184,1775,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
337825,1776,0,1,555896,1632134,7036,2281524,16431,5846,	7066,5847,	7066,13674,0,0,0
337920,1777,1,1,576680,22129,7281,37735,16431,81,	97,81,	98,12942,0,0,14
337997,1778,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
338059,1779,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
338122,1780,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
338184,1781,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
