ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
67018,6,0,0,561135,6517,7277,59146,16403,25,	1,250,	5,2621,0,0,10
67094,7,1,0,573191,1286,7367,7753,16403,5,	0,49,	0,0,0,0,14
67158,8,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
67215,9,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
67274,10,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
67334,11,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
77012,12,0,0,565002,6833,7261,58150,16401,25,	0,251,	4,0,0,0,0
77086,13,1,0,582156,1332,7355,7783,16401,5,	0,49,	0,0,0,0,14
77150,14,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
77209,15,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
77268,16,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
77328,17,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
S 0 1
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
87009,18,0,1,563942,86973,7259,800601,16394,316,	382,2389,	2772,13685,0,0,10
87095,19,1,0,587040,1344,7348,8084,16403,5,	0,49,	0,0,0,0,14
87160,20,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
87220,21,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
87279,22,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
87339,23,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
97001,24,0,1,565615,87216,7254,178326,16403,316,	381,3161,	3816,13478,0,0,10
97089,25,1,0,586902,1331,7350,7520,16403,5,	0,49,	0,0,0,0,14
97153,26,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
97212,27,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
97271,28,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
97331,29,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
