3701024,7284,0,1,563581,87152,7120,149133,16407,316,	382,316,	381,13685,0,0,10
3701114,7285,1,1,580639,1321,7350,6690,16403,5,	0,5,	0,0,0,0,14
3701182,7286,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3701245,7287,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3701309,7288,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3701372,7289,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
3702024,7290,0,1,563668,87040,7190,170023,16405,315,	381,315,	381,13728,0,0,10
3702114,7291,1,1,578086,1343,7350,6674,16403,5,	0,5,	0,0,0,0,14
3702181,7292,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3702245,7293,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3702308,7294,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3702372,7295,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
3703023,7296,0,1,562330,87284,7237,177885,16405,316,	381,316,	381,13478,0,0,0
3703113,7297,1,1,585341,1348,7363,6893,16403,5,	0,4,	0,0,0,0,14
3703181,7298,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3703244,7299,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3703308,7300,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3703371,7301,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
3704025,7302,0,1,562833,86581,7202,178116,16403,315,	380,315,	381,13520,0,0,0
3704113,7303,1,1,583319,1305,7354,6817,16403,5,	0,5,	0,0,0,0,14
3704180,7304,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3704244,7305,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3704307,7306,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3704371,7307,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
3705024,7308,0,1,564510,87220,7179,170077,16403,315,	381,315,	381,13728,0,0,0
3705112,7309,1,1,584257,1314,7369,6634,16403,5,	0,5,	0,0,0,0,14
3705180,7310,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3705243,7311,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3705307,7312,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3705370,7313,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
3706023,7314,0,1,564869,87141,7139,145475,16407,316,	382,316,	381,13685,0,0,10
3706112,7315,1,1,578098,1361,7361,7177,16403,5,	0,5,	0,0,0,0,14
3706179,7316,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3706245,7317,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3706308,7318,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3706372,7319,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
3707023,7320,0,1,563199,87226,7167,155333,16405,315,	381,315,	381,13728,0,0,10
3707113,7321,1,1,579353,1352,7369,5902,16403,4,	0,5,	0,0,0,0,14
3707181,7322,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3707244,7323,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3707308,7324,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3707371,7325,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
3708022,7326,0,1,565303,87595,7274,176581,16405,317,	382,317,	383,13435,0,0,0
3708110,7327,1,1,585851,1344,7379,6391,16403,5,	0,5,	0,0,0,0,14
3708178,7328,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3708241,7329,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3708305,7330,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
3708368,7331,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
